Functional Area,Feature File,Scenario
account-management,account-view-or-edit-details,As enrolled AR user I can access View account screen of an OPEN status account
account-management,account-view-or-edit-details,As admin I can access View account screen of an OPEN or PROPOSED status account
account-management,account-view-or-edit-details,As user when I go back from View account screen to accounts list data is retained
account-management,account-view-or-edit-details,As AR enrolled I can go back from account details to accounts list
account-management,account-view-or-edit-details,As admin I can navigate to all oha account details sections
account-management,account-view-or-edit-details,As admin I can navigate to all aoha account details sections
account-management,account-view-or-edit-details,As enrolled AR I can navigate to all oha account details sections
account-management,account-view-or-edit-details,As enrolled AR I can navigate to all aoha account details sections
account-management,account-view-or-edit-details,As AR I can see AH details of an account
account-management,account-view-or-edit-details,As admin I can see AH details of an account
account-management,account-view-or-edit-details,As AR I can view active account ARs
account-management,account-view-or-edit-details,As admin I can view active account ARs
account-management,account-view-or-edit-details,As admin I can go back from account details to accounts list
account-management,account-view-or-edit-details,As admin I can see accounts holdings
account-management,account-view-or-edit-details,As AR I can see accounts holdings
account-management,account-view-or-edit-details,As admin I can see tal of an account
account-management,account-view-or-edit-details,As AR enrolled I can see tal of an account
account-management,account-view-or-edit-details,As authorised representative i can edit the account name or billing address
account-management,account-view-or-edit-details,As AR I see the account status and the ARs for OPEN or ALL TRANSACTIONS RESTRICTED or SOME TRANSACTIONS RESTRICTED accounts
account-management,account-view-or-edit-details,As AR I cannot see the account status of CLOSED or SUSPENDED or SUSPENDED PARTIALLY or TRANSFER PENDING account
account-management,account-view-or-edit-details,As admin I can see the correct account status and the ARs
account-management,account-view-or-edit-details,As admin user I cannot see the suspended ARs of account
account-management,account-view-or-edit-details,As AR I cannot see the suspended ARs of an account
account-management,bulkAR-upload,As a junior or read only admin or AR or authority I must not see the Bulk AR upload tab.
account-management,bulkAR-upload,As senior-admin user I cannot submit a Bulk-Ar xls when the upload process does not meet appropriate criteria
account-management,bulkAR-upload,As senior-admin user I can prepare to submit a Bulk-Ar xls and navigate back or cancel-it
account-management,bulkAR-upload,As senior-admin user I can submit a Bulk-Ar xls and add-AR tasks will be created
account-management,account-view-or-edit-details,As admin I can access View account screen
account-management,tal-update-request-account-add-or-remove,As admin I cannot add an PROPOSED status account to tal
account-management,tal-update-request-account-add-or-remove,As admin I can add an OPEN status account to tal WITHOUT COMMENT
account-management,tal-update-request-account-add-or-remove,As admin I can add an account to tal WITH COMMENT
account-management,tal-update-request-account-add-or-remove,As admin I cannot add the same account to tal twice
account-management,tal-update-request-account-add-or-remove,As authorised representative user I can change description of tal
account-management,tal-update-request-account-add-or-remove,As junior admin I can cancel a tal request update
account-management,tal-update-request-account-add-or-remove,As a user I can see data retained while navigating backwards during a tal update
account-management,tal-update-request-account-add-or-remove,As admin I cannot remove an account from tal when account status is PENDING APPROVAL on another tal task
account-management,tal-update-request-account-add-or-remove,As admin user I can remove an account
account-management,tal-update-request-account-add-or-remove,As AR I can access View account screen and navigate to other sections of tal
account-management,tal-update-request-account-add-or-remove,As AR with incorrect access rights I cannot add or remove TAL request update
account-management,tal-update-request-account-add-or-remove,As AR with incorrect access rights I can add an account to TAL
account-management,tal-update-request-account-add-or-remove,As AR with correct access rights I can remove an account from TAL
account-management,tal-update-request-task-approve,As senior admin I can assign and claim add or remove TAL task
account-management,tal-update-request-task-approve,As senior admin I can complete add or remove update TAL request with comment when I am NOT initiator
account-management,tal-update-request-task-approve,As senior admin I can APPROVE an add or remove update TAL request without comment when I am NOT initiator
account-management,tal-update-request-task-approve,As senior admin I cannot REJECT an add or remove update TAL request when I am NOT initiator without entering comment
account-management,tal-update-request-task-approve,As senior admin I cannot APPROVE an add or remove TAL request when I am BOTH claimant and initiator
account-management,tal-update-request-task-approve,As senior admin I can REJECT an add or remove TAL request when I am BOTH claimant and initiator
account-management,tal-update-request-task-approve,As ar with correct access rights I can APPROVE an add or remove update TAL request without comment when I am NOT initiator
account-management,tal-update-request-task-approve,As AR with correct access rights I can REJECT an add or remove TAL request
account-management,tal-update-request-task-approve,As ar with INCORRECT access rights I cannot APPROVE an add or remove update TAL request without comment when I am NOT initiator
account-management,tal-update-request-task-approve,As ar with INCORRECT access rights I cannot REJECT an add or remove TAL request
account-management,tal-update-request-transaction-rules,As admin I must not see nor update TAL transaction rules for gov accounts
account-management,tal-update-request-transaction-rules,As admin I can cancel an update of TAL transaction rules of account
account-management,tal-update-request-transaction-rules,As admin I can navigate back during TAL transaction rules update of account
account-management,tal-update-request-transaction-rules,As admin I can update TAL transaction rules of account
account-management,tal-update-request-transaction-rules,As AR enrolled with the correct access rights I can update TAL transaction rules of my account
account-management,tal-update-request-transaction-rules,As AR with incorrect access rights I cannot update TAL transaction rules of my account
account-management,update-ah-details-by-ar,As AR I cannot request TRANSFER PENDING account updates as I cannot even see account in Account search results
account-management,update-ah-details-by-ar,As an AR I can navigate backwards ensuring that data is retained
account-management,update-ah-details-by-ar,As an AR I can cancel update process
account-management,update-ah-details-by-ar,i cannot submit an update account details request when no change is applied
account-management,update-ah-details-by-ar,As AR I can request an update ah details on OHA where AH is organisation
account-management,update-ah-details-by-ar,As AR I can request an update of ah details on OHA where AH is individual
account-management,update-ah-details-by-ar,As AR I can request an update of primary contact details on OHA where AH is organisation
account-management,update-ah-details-by-ar,As AR I can request an update of primary contact details on OHA where AH is individual
account-management,update-ah-details-by-ar,ah request data update is correctly implemented when and only when task is approved for individual holder type
account-management,update-ah-details-by-ar,ah request data update is not available for registered user
account-management,update-ah-details-by-ar,ah request data update is correctly implemented when and only when task is approved for organisation holder type
account-management,update-ar-request-ar-add,As admin I can cancel an update request submit of an AR
account-management,update-ar-request-ar-add,As a admin I cannot approve an authorized update request when I am both initiator and claimant due to 4 eyes principle
account-management,update-ar-request-ar-add,As admin I cannot update request submit of an AR to a CLOSED account
account-management,update-ar-request-ar-add,As enrolled AR with incorrect access rights APPROVE or READONLY I cannot submit AR update requests for any account
account-management,update-ar-request-ar-add,As AR with incorrect access rights I cannot complete AR request
account-management,update-ar-request-ar-add,As AR I can ADD update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-add,As AR with correct access rights I can add another AR to an non closed account
account-management,update-ar-request-ar-add,As AR with correct access rights I CANNOT add another AR to an non closed account as I cannot even search for account
account-management,update-ar-request-ar-add,As admin I can approve AR addition request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-ar-add,As AR with correct access rights I cannot complete add AR request
account-management,update-ar-request-ar-remove,As admin I can REMOVE update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-remove,As admin I can REMOVE update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-remove,As AR with correct access rights I can REMOVE another AR to an NON CLOSED account
account-management,update-ar-request-ar-remove,As admin I can approve AR REMOVE request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-ar-remove,As AR with correct access rights I cannot complete REMOVE AR request when I am NOT initiator
account-management,update-ar-request-ar-replace,As admin I can REPLACE update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-replace,As admin I cannot REPLACE update request submit of an AR to Transfer Pending account
account-management,update-ar-request-ar-replace,As AR with correct access rights I can REPLACE another AR to an non closed account
account-management,update-ar-request-ar-replace,As admin I can approve AR REPLACE request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-ar-replace,As AR with correct access rights I cannot complete REPLACE AR request when I am NOT initiator
account-management,update-ar-request-ar-restore,As admin I can Restore update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-restore,As admin I cannot Restore update request submit of an AR to Transfer Pending account
account-management,update-ar-request-ar-restore,As admin I can approve AR Restore request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-ar-restore,As AR with correct access rights I cannot complete Restore AR request when I am NOT initiator
account-management,update-ar-request-ar-suspend,As admin I can Suspend update request submit of an AR to non CLOSED account
account-management,update-ar-request-ar-suspend,As admin I cannot Suspend update request submit of an AR to Transfer Pending account
account-management,update-ar-request-ar-suspend,As admin I can approve AR Suspend request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-ar-suspend,As AR with correct access rights I cannot complete Suspend AR request when I am NOT initiator
account-management,update-ar-request-change-rights,As admin I can CHANGE access rights update request submit of an AR to non CLOSED account
account-management,update-ar-request-change-rights,As admin I cannot CHANGE access rights update request submit of an AR to Transfer Pending account
account-management,update-ar-request-change-rights,As AR with correct access rights I can CHANGE access rights of another AR to an non closed account
account-management,update-ar-request-change-rights,As admin I can approve AR Change access rights request when I am NOT initiator and reject even I am initiator
account-management,update-ar-request-change-rights,As AR with correct access rights I cannot complete a Change access rights AR request when I am NOT initiator
account-opening,account-details-oha-aoha-kp-accounts,As user I can go back to new account overview page
account-opening,account-details-oha-aoha-kp-accounts,As user when I refresh page data is retained
account-opening,account-details-oha-aoha-kp-accounts,As user I cannot submit empty name line or town field for PHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user I cannot submit empty name line or town field for OHA and AOHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user when I navigate to previous screen I see data retained for OHA and AOHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user when I navigate to previous screen I see data retained for PHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user when I navigate to previous screen I see data retained using case of Billing address the same with one of AH
account-opening,account-details-oha-aoha-kp-accounts,As user I can submit account details for OHA and AOHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user I can submit account details for PHA accounts
account-opening,account-details-oha-aoha-kp-accounts,As user I can submit the account details for PHA accounts using case of Billing address the same with one of AH
account-opening,account-details-oha-aoha-kp-accounts,As user I can edit account details for OHA and AOHA accounts after apply
account-opening,account-details-oha-aoha-kp-accounts,As user I can edit account details for PHA accounts after apply
account-opening,account-details-oha-aoha-kp-accounts,As user I can change account details for OHA and AOHA accounts before submit
account-opening,account-details-oha-aoha-kp-accounts,As user I can change account details for PHA accounts before submit
account-opening,account-details-oha-aoha-kp-accounts,As user I can delete account details from OHA and AOHA accounts request
account-opening,account-details-oha-aoha-kp-accounts,As user I can delete account details from PHA accounts request
account-opening,account-details-oha-aoha-kp-accounts,As user I can go back to new account overview page
account-opening,account-details-trading-account,As user I cannot submit empty mandatory fields for Trading Account
account-opening,account-details-oha-aoha-kp-accounts,As user when I navigate to previous screen I see data retained
account-opening,account-details-trading-account,As user I can submit account details for Trading Account
account-opening,account-details-trading-account,As user I can change account details for Trading Account before apply
account-opening,account-details-trading-account,As user I can edit account details for Trading Account after apply
account-opening,account-details-trading-account,As user I can delete account details from request
account-opening,account-holder-wizard,As user I can go back to previous screen Fill ah type
account-opening,account-holder-wizard,As a X user I dont see X screen object
account-opening,account-holder-wizard,As enrolled user I dont see X screen object
account-opening,account-holder-wizard,As user when I cannot select an existing ah for individual from proposed list
account-opening,account-holder-wizard,As registered user I cannot create an oha or aoha account
account-opening,account-holder-wizard,As admin when I select an existing ah for individual via Searching I can view his details in readonly mode
account-opening,account-holder-wizard,As admin when I select an existing ah for organisation via Searching I can view his details in readonly mode
account-opening,account-holder-wizard,As user when I select an existing ah for organisation from proposed list I can view his details in readonly mode
account-opening,account-holder-wizard,As user I can continue to next screen
account-opening,account-holder-wizard,As user I can Select the type of ah
account-opening,account-holder-wizard,As user I can Fill ah individual details no name set
account-opening,account-holder-wizard,As user I can Fill ah individual details no year of birth set
account-opening,account-holder-wizard,As user I can Fill ah individual details check edge case of invalid age
account-opening,account-holder-wizard,As user I can Fill ah individual details happy path
account-opening,account-holder-wizard,As a user I can fill ah individual address details and leave fist line empty
account-opening,account-holder-wizard,As user I can go Fill ah individual address details leave empty field: Town or city
account-opening,account-holder-wizard,As user I can go to Fill ah individual address details page leaving empty email field
account-opening,account-holder-wizard,As user I can go Fill ah individual address details leaving empty retype email field
account-opening,account-holder-wizard,As user I can go Fill ah individual address details leave empty field: Phone number 1
account-opening,account-holder-wizard,As user I can go Fill ah individual address details postcode mandatory for UK only UK case WITHOUT postcode
account-opening,account-holder-wizard,As user I can go Fill ah individual address details postcode mandatory for UK only UK case WITH postcode
account-opening,account-holder-wizard,As user I can go Fill ah individual address details invalid phone formats
account-opening,account-holder-wizard,As user I can go Fill ah individual address details different email and retype email addresses
account-opening,account-holder-wizard,As user I can go Fill ah individual address details happy path
account-opening,account-holder-wizard,As user I can go back to previous screen Fill ah Organisation details
account-opening,account-holder-wizard,As user I can continue to next screen organisation
account-opening,account-holder-wizard,As user I cannot submit empty mandatory fields for organisation fill one field only
account-opening,account-holder-wizard,As user I can go back to previous screen Fill ah Organisation address
account-opening,account-holder-wizard,As user I can continue to next screen organisation
account-opening,account-holder-wizard,As user I cannot submit empty mandatory fields leaving town or city field empty
account-opening,account-holder-wizard,As user I cannot submit empty mandatory fields leaving line 1 field empty
account-opening,account-holder-wizard,Postcode is mandatory for UK only organisation section
account-opening,account-holder-wizard,Ensure that in overview page for individual we can successfully Change Personal Details and Apply
account-opening,account-holder-wizard,Ensure that in overview page for individual we can successfully change Address and contact details and Apply
account-opening,account-holder-wizard,Ensure that overview page works properly changing Organisation details and Apply
account-opening,account-holder-wizard,Ensure that overview page works properly changing Address and contact details and Apply
account-opening,account-holder-wizard,Ensure that overview page works properly upon Apply button without changing fields for individual
account-opening,account-holder-wizard,Ensure that overview page works properly upon Apply button without changing fields for organisation
account-opening,aircraft-operator-wizard,As user I can go back to previous screen navigating from details
account-opening,account-holder-wizard,As user I can continue to next screen
account-opening,aircraft-operator-wizard,As user I cannot submit empty regulation option
account-opening,aircraft-operator-wizard,As user I cannot submit empty textbox fields option
account-opening,aircraft-operator-wizard,First year of verification cannot be equal to or lower than 2020
account-opening,aircraft-operator-wizard,First year of verification must be 2021 or later
account-opening,aircraft-operator-wizard,As user I can go back to previous screen navigating from details view to details
account-opening,aircraft-operator-wizard,As user filling screens and then coming back and forth I see my filling data preserved
account-opening,aircraft-operator-wizard,An account with the same monitoring plan ID already exists under same ah then a second account is not permitted
account-opening,aircraft-operator-wizard,As user I can apply for Specify aoha
account-opening,aircraft-operator-wizard,As user I can change the information before apply for Specify aoha
account-opening,aircraft-operator-wizard,As user I can edit aoha after apply
account-opening,aircraft-operator-wizard,As user I can delete aoha after apply
account-opening,authorised-representative-wizard,As user I can select an ar from list
account-opening,authorised-representative-wizard,As user I cannot submit empty mandatory fields in selection screen
account-opening,authorised-representative-wizard,As user I cannot submit empty mandatory fields in access rights screen
account-opening,authorised-representative-wizard,As user I can search and select ar
account-opening,authorised-representative-wizard,As user I cannot proceed to next screen if I provide an invalid user ID
account-opening,authorised-representative-wizard,As user I can apply for an ar using one the from the existing in list
account-opening,authorised-representative-wizard,As user I can use myself as ar and AR dropdown list is disappear after adding myself as AR
account-opening,authorised-representative-wizard,As user I can apply for two ar using one from the existing in list
account-opening,authorised-representative-wizard,As user I cannot proceed to next screen if I provide user ID of an existing ar
account-opening,authorised-representative-wizard,As user I can remove account representative from request
account-opening,authorised-representative-wizard,As user I can select appropriate access rights according to Business Rules validations
account-opening,authorised-representative-wizard,As user I can change access rights ar before apply
account-opening,authorised-representative-wizard,As user I can edit ar after apply
account-opening,check-information-before-submit-and-success-page,As user I can navigate back and forth
account-opening,check-information-before-submit-and-success-page,As user I can see all sections relevant to my opening request having correct data for Trading ah with Organisation
account-opening,check-information-before-submit-and-success-page,As user I can submit an Account Type Trading account ETS with 1 AR selected
account-opening,check-information-before-submit-and-success-page,As user I can see all sections relevant to my Person holding kp opening request having correct data for Organisation
account-opening,check-information-before-submit-and-success-page,As user I can see that after account opening an account opening request task is generated and an open account is not created
account-opening,check-information-before-submit-and-success-page,As user I can see that after account opening task approval a new open account is created
account-opening,check-information-before-submit-and-success-page,As user I can see all sections relevant to my oha opening request having correct data for individual
account-opening,check-information-before-submit-and-success-page,As user I can view the details of a section of opening request
account-opening,check-information-before-submit-and-success-page,As user I can be notified when I cannot submit my request due to technical issues
account-opening,choose-account-type,As user I can access Request a new registry account screen
account-opening,choose-account-type,As user I can access the Select the type of account screen
account-opening,choose-account-type,As user I can select type of registry account and proceed to next screen
account-opening,choose-account-type,As user I want a hint for each account type before I select one
account-opening,choose-account-type,As Read only admin I cannot request an account creation
account-opening,choose-account-type,As authorised representative I see the correct account types during account opening
account-opening,account-holder-wizard,As user I can go back to previous screen
account-opening,account-holder-wizard,As user I can continue to next screen
account-opening,installation-operator-wizard,As user I cannot submit without having selected Installation activity type field
account-opening,installation-operator-wizard,As user I cannot submit form without having selected regulator field
account-opening,installation-operator-wizard,As user I cannot submit form without having inserted a textbox date field
account-opening,installation-operator-wizard,As user I cannot submit form without having inserted a textbox fields
account-opening,installation-operator-wizard,First year of Verified Emission submit must be greater or equal to 2021 negative edge case
account-opening,installation-operator-wizard,First year of Verified Emission submit must be greater or equal to 2021 positive edge case
account-opening,installation-operator-wizard,As user I can go back and forth maintaining data
account-opening,installation-operator-wizard,As user I can apply installation
account-opening,installation-operator-wizard,As user I can edit installation after apply
account-opening,installation-operator-wizard,As user I cannot submit an installation of account with the same permit ID already existed under same ah
account-opening,installation-operator-wizard,As user I can change installation before apply
account-opening,installation-operator-wizard,As user I can delete installation after apply
account-opening,installation-transfer,As SRA I can open an OHA account with installation transfer and allowances
account-opening,installation-transfer,As SRA or JRA only I can open an OHA account with installation transfer
account-opening,installation-transfer,As SRA I cannot successfully fill in the installation transfer details when I enter invalid values
account-opening,installation-transfer,As SRA I cannot request an account opening with installation transfer if the old transferring account has pending task
account-opening,legal-representative-wizard,As user I can submit personal details for 1 primary contact
account-opening,legal-representative-wizard,As user I can submit personal details for 2 primary contacts
account-opening,legal-representative-wizard,As user I cannot submit empty mandatory fields in legal representative wizard
account-opening,legal-representative-wizard,As user I cannot register a primary contact of age under 18 years old
account-opening,legal-representative-wizard,As user I can bypass the postcode fill if primary contact resides out of UK
account-opening,legal-representative-wizard,As user I must submit a postcode if the primary contact resides in UK
account-opening,legal-representative-wizard,As user I cannot submit empty Fill primary contact address fields Line 1 or Town City
account-opening,legal-representative-wizard,As user I cannot submit empty Phone field in Fill primary contact address screen
account-opening,legal-representative-wizard,As user I cannot submit empty Email or Retype email field in Fill primary contact address screen
account-opening,legal-representative-wizard,As user I cannot enter an email address using incorrect format
account-opening,legal-representative-wizard,As user I can enter a long email address
account-opening,legal-representative-wizard,As user I must verify primary contacts email address using same value in Email and Retype email fields
account-opening,legal-representative-wizard,As user I can change primary contacts personal details before apply
account-opening,legal-representative-wizard,As user I can change primary contacts address and contact details before apply
account-opening,legal-representative-wizard,As user I can remove primary contact from request
account-opening,legal-representative-wizard,As user I can edit primary contacts details before submit
account-opening,main-wizard-task-list,As user I can complete ah section for oha
account-opening,main-wizard-task-list,As user I can complete ah section for aoha
account-opening,main-wizard-task-list,As user I can fill in primary contact section for oha
account-opening,main-wizard-task-list,As user I can complete Transaction rules section for oha
account-opening,main-wizard-task-list,As user I can complete installation section
account-opening,main-wizard-task-list,As user I can complete aoha section
account-opening,main-wizard-task-list,As user I can see the account type I selected on previous step
account-opening,main-wizard-task-list,As user I can see all common sections relevant to my opening request
account-opening,main-wizard-task-list,As user I can complete ah section for Trading Account and Person Holding Account
account-opening,main-wizard-task-list,As user I can fill in primary contact section for aoha
account-opening,main-wizard-task-list,As user I can fill in primary contact section for Trading Account and Person Holding Account
account-opening,main-wizard-task-list,As user I can complete Transaction rules section for aoha
account-opening,main-wizard-task-list,As user I can complete Transaction rules section for Trading Account and Person Holding Account
account-opening,check-information-before-submit-and-success-page,As user I can see all sections relevant to my opening request
account-opening,main-wizard-task-list,As user I can know which sections are OPTIONAL for OHA and AOHA accounts
account-opening,main-wizard-task-list,As user I can know what information is missing from opening request
account-opening,main-wizard-task-list,As user I cannot submit ars that violate business rules
account-opening,main-wizard-task-list,As user I cannot submit ars that violate business rules due to 4 eyes principle
account-opening,main-wizard-task-list,As user I can see oha distinct sections
account-opening,main-wizard-task-list,As user I can see aoha distinct sections
account-opening,main-wizard-task-list,As user I can know which sections are OPTIONAL for my request for oha
account-opening,main-wizard-task-list,As user I can know which sections are INcompleted OPTIONAL for my request for Trading account account type
account-opening,main-wizard-task-list,As user I can know which sections are INcompleted OPTIONAL for my request for aoha
account-opening,main-wizard-task-list,As user I can know which sections are INcompleted OPTIONAL for my request for Person holding account KP account type
account-opening,main-wizard-task-list,As user I can cancel opening request and return to dashboard
account-opening,main-wizard-task-list,As user I can submit an opening request after I complete all mandatory sections
account-opening,main-wizard-task-list,As user I can verify that for oha ets account type I see the correct sections status while filling in sections
account-opening,main-wizard-task-list,As user I can verify that for OHA account type I see the correct sections status when I select an existing ah for individual from proposed list
account-opening,main-wizard-task-list,As user I can verify that for aoha I see the correct sections status while filling in sections
account-opening,main-wizard-task-list,As user I can verify that for Trading account account type I see the correct sections status while filling in sections
account-opening,main-wizard-task-list,As user I can verify that for Person holding account KP account type I see the correct sections status while filling in sections
account-opening,senior-admin-request-documents,As AR I can complete a senior admin AH documents request on an ad hoc basis via Account menu ah link
account-opening,senior-admin-request-documents,As AR I can complete a senior admin AH documents request as part of Account opening task
account-opening,senior-admin-request-documents,As AR I can complete a senior admin AH documents request via User details
account-opening,trusted-account-wizard,As user when I configured the trust account list and clicked on the APPLY button the settings are reflected in table of contents
account-opening,trusted-account-wizard,As user I can change the transaction rules before apply changes in second ar approval to accounts
account-opening,trusted-account-wizard,As user I can change the transaction rules before apply changes in the transfers to accounts not on transaction rules allowed
account-opening,trusted-account-wizard,As user I can edit transaction rules after apply
account-opening,trusted-account-wizard,As user I can delete transaction rules after apply
account-opening,trusted-account-wizard,As user I can go back to previous screen transaction rules 1
account-opening,trusted-account-wizard,As user I can continue to next screen Configure transaction rules transfers outside list
account-opening,trusted-account-wizard,As user I can go back to previous screen transaction rules 2
account-opening,trusted-account-wizard,As user I can continue to next screen Configure transaction rules overview
account-opening,account-holder-wizard,As user I can go back to previous screen
account-opening,trusted-account-wizard,As user filling screens and then coming back I see my filling data preserved in second approval necessary screen
account-opening,trusted-account-wizard,As user filling screens and then coming back I see my fill in data preserved in transfers outside list screen
compliance,upload-emissions-table-request-and-task,As SRA I can successfully upload emissions table and after task approval the emissions are updated
compliance,upload-emissions-table-request-and-task,As SRA I cannot upload emissions table due to applied business rules
compliance,upload-emissions-table-request-and-task,As SRA I can cancel the upload emissions table request
dashboard,dashboard,As a non admin User I see correct menu items in my dashboard
dashboard,dashboard,As an admin User I see correct menu items in my dashboard
dashboard,dashboard,As user I access my dashboard and I can Sign out
dashboard,dashboard,As a Registered User I see the warning message and request account
dashboard,dashboard,As validated user User I see the warning message and request account
dashboard,landing-page,As a not signed in user I access the Landing page and I can Sign in
dashboard,landing-page,As a not signed in user I access the Landing page and I can Start the Registration process
dashboard,landing-page,As a not signed in user I access the Landing page and I can go to Gov uk
dashboard,landing-page,As a not signed-in user, I access the Landing page to Sign in but the service is down
ets-transactions,account-change-allocation-status,As senior admin I can change allocation status
ets-transactions,account-change-allocation-status,According to admin type I have the correct visibility of Change allocation status button
ets-transactions,account-change-allocation-status,As an AR I can read only the allocation status
ets-transactions,account-change-allocation-status,As an AR or admin user I can view allocation status of an account for each allocation type separately such as NAT NER NAVAT
ets-transactions,account-change-allocation-status,As an AR or admin user I must not see the allocation status of an account if there are no allocation entries in current phase
ets-transactions,allocation-return,As SRA user I can trigger a Return excess allocation transaction task and units are correctly transferred upon task approval
ets-transactions,allocation-return,As SRA user I cannot trigger a Return excess allocation transaction under a ALL TRANSACTIONS RESTRICTED accounts
ets-transactions,allocation-return,As AR user I cannot trigger a Return excess allocation transaction under a SUSPENDED or PARTIALLY SUSPENDED or ALL_TRANSACTIONS_RESTRICTED accounts
ets-transactions,allocation-return,As JRA user I cannot trigger a Return excess allocation transaction
ets-transactions,allocation-return,As AR user I can trigger a Return excess allocation transaction
ets-transactions,allocation-return,As AR user I cannot trigger a Return excess allocation transaction when I set invalid quantity values or leave mandatory fields empty
ets-transactions,allocation-return,As SRA user while implementing a Return excess allocation transaction I see data retained while navigating backwards
ets-transactions,allocation-return,As SRA user I can cancel a Return excess allocation transaction triggering
ets-transactions,allocation-reversal,As SRA user I can trigger a Reverse Allocation transaction
ets-transactions,allocation-reversal,As SRA user I cannot trigger a Reverse Allocation transaction of ALL TRANSACTIONS RESTRICTED
ets-transactions,allocation-reversal,As AR user I cannot trigger a Reverse Allocation transaction
ets-transactions,allocation-reversal,As JRA user I cannot trigger a Reverse Allocation transaction
ets-transactions,allocation-reversal,As SRA user I cannot trigger a Reverse Allocation transaction under a Trading or KP account
ets-transactions,allocation-reversal,As SRA user I cannot trigger a Reverse Allocation transaction to acquiring account with status CLOSED TRANSFER PENDING are not allowed
ets-transactions,allocation-reversal,As SRA user I cannot trigger a Reverse Allocation transaction after 14 days
ets-transactions,allocation-reversal,As SRA user I can cancel a Reverse Allocation transaction
ets-transactions,ets_reconciliation,As a senior admin i can see an alert regarding the ets reconciliation status
ets-transactions,ets_reconciliation,Main success scenario Successful reconciliation
ets-transactions,ets_reconciliation,Extension 1 Reconciliation fails due to missing account in Registry
